"sc-gMacIw","sc-gMacIw 2","sc-gMacIw 3","sc-gMacIw 4","sc-gMacIw 5","sc-gMacIw 6"
"Chad","TCD","Gross enrolment ratio, pre-primary, both sexes (%)","SE.PRE.ENRR","1.451329947","2012"
"Chad","TCD","Teachers in pre-primary education, both sexes (number)","SE.PRE.TCHR","543","2012"
"Chad","TCD","Official entrance age to primary education (years)","SE.PRM.AGES","6","2010"
"Chad","TCD","Official entrance age to primary education (years)","SE.PRM.AGES","6","1984"
"Chad","TCD","Official entrance age to primary education (years)","SE.PRM.AGES","6","2013"
"Chad","TCD","Official entrance age to primary education (years)","SE.PRM.AGES","6","2005"
"Chad","TCD","Official entrance age to primary education (years)","SE.PRM.AGES","6","1985"
"Chad","TCD","Theoretical duration of primary education (years)","SE.PRM.DURS","6","1977"
"Chad","TCD","Theoretical duration of primary education (years)","SE.PRM.DURS","6","1991"
"Chad","TCD","Theoretical duration of primary education (years)","SE.PRM.DURS","6","1978"
"Chad","TCD","Theoretical duration of primary education (years)","SE.PRM.DURS","6","1975"
"Chad","TCD","Theoretical duration of primary education (years)","SE.PRM.DURS","6","1988"
"Chad","TCD","Theoretical duration of primary education (years)","SE.PRM.DURS","6","2005"
"Chad","TCD","Theoretical duration of primary education (years)","SE.PRM.DURS","6","1980"
"Chad","TCD","Theoretical duration of primary education (years)","SE.PRM.DURS","6","2009"
"Chad","TCD","Theoretical duration of primary education (years)","SE.PRM.DURS","6","1990"
"Chad","TCD","Enrolment in primary education, both sexes (number)","SE.PRM.ENRL","1928603","2011"
"Chad","TCD","Enrolment in primary education, both sexes (number)","SE.PRM.ENRL","424942","1989"
"Chad","TCD","Enrolment in primary education, both sexes (number)","SE.PRM.ENRL","1271985","2004"
"Chad","TCD","Enrolment in primary education, both sexes (number)","SE.PRM.ENRL","525165","1991"
"Chad","TCD","Enrolment in primary education, both sexes (number)","SE.PRM.ENRL","188485","1973"
"Chad","TCD","Gross enrolment ratio, primary, both sexes (%)","SE.PRM.ENRR","38.43421936","1987"
"Chad","TCD","Gross enrolment ratio, primary, both sexes (%)","SE.PRM.ENRR","48.415649414","1996"
"Chad","TCD","Gross enrolment ratio, primary, both sexes (%)","SE.PRM.ENRR","78.181976318","2008"
"Chad","TCD","Gross enrolment ratio, primary, both sexes (%)","SE.PRM.ENRR","49.632270813","1990"
"Chad","TCD","Gross enrolment ratio, primary, both sexes (%)","SE.PRM.ENRR","39.456661224","1986"
"Chad","TCD","Gross enrolment ratio, primary, both sexes (%)","SE.PRM.ENRR","34.673881531","1985"
"Chad","TCD","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR","56.119869232","2002"
"Chad","TCD","Teachers in primary education, both sexes (number)","SE.PRM.TCHR","19989","2005"
"Chad","TCD","Teachers in primary education, both sexes (number)","SE.PRM.TCHR","2788","1972"
"Chad","TCD","Teachers in primary education, both sexes (number)","SE.PRM.TCHR","11641","1998"
"Chad","TCD","Teachers in primary education, both sexes (number)","SE.PRM.TCHR","2824","1971"
"Chad","TCD","Teachers in primary education, both sexes (number)","SE.PRM.TCHR","9395","1996"
"Chad","TCD","Adjusted net enrolment rate, primary, both sexes (%)","SE.PRM.TENR","56.295398712","2002"
"Chad","TCD","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","2.205280066","1976"
"Chad","TCD","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","3.655070066","1996"
"Chad","TCD","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","7.300260067","2011"
"Chad","TCD","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","6.662670135","2010"
"Chad","TCD","Official entrance age to lower secondary education (years)","SE.SEC.AGES","12","2013"
"Chad","TCD","Official entrance age to lower secondary education (years)","SE.SEC.AGES","12","1978"
"Chad","TCD","Official entrance age to lower secondary education (years)","SE.SEC.AGES","12","1993"
"Chad","TCD","Official entrance age to lower secondary education (years)","SE.SEC.AGES","12","1975"
"Chad","TCD","Official entrance age to lower secondary education (years)","SE.SEC.AGES","12","1983"
"Chad","TCD","Official entrance age to lower secondary education (years)","SE.SEC.AGES","12","1998"
"Chad","TCD","Official entrance age to lower secondary education (years)","SE.SEC.AGES","12","2004"
"Chad","TCD","Official entrance age to lower secondary education (years)","SE.SEC.AGES","12","2010"
"Chad","TCD","Official entrance age to lower secondary education (years)","SE.SEC.AGES","12","2008"
"Chad","TCD","Theoretical duration of secondary education (years)","SE.SEC.DURS","7","1986"
"Chad","TCD","Theoretical duration of secondary education (years)","SE.SEC.DURS","7","2014"
"Chad","TCD","Theoretical duration of secondary education (years)","SE.SEC.DURS","7","1977"
"Chad","TCD","Theoretical duration of secondary education (years)","SE.SEC.DURS","7","2011"
"Chad","TCD","Theoretical duration of secondary education (years)","SE.SEC.DURS","7","1988"
"Chad","TCD","Theoretical duration of secondary education (years)","SE.SEC.DURS","7","2004"
"Chad","TCD","Theoretical duration of secondary education (years)","SE.SEC.DURS","7","2013"
"Chad","TCD","Theoretical duration of secondary education (years)","SE.SEC.DURS","7","2003"
"Chad","TCD","Theoretical duration of secondary education (years)","SE.SEC.DURS","7","1983"
"Chad","TCD","Theoretical duration of secondary education (years)","SE.SEC.DURS","7","1979"
"Chad","TCD","Enrolment in secondary education, both sexes (number)","SE.SEC.ENRL","314470","2007"
"Chad","TCD","Enrolment in secondary education, both sexes (number)","SE.SEC.ENRL","456548","2011"
"Chad","TCD","Enrolment in secondary education, both sexes (number)","SE.SEC.ENRL","99789","1997"
"Chad","TCD","Enrolment in secondary education, both sexes (number)","SE.SEC.ENRL","12731","1974"
"Chad","TCD","Enrolment in secondary education, both sexes (number)","SE.SEC.ENRL","16391","1976"
"Chad","TCD","Enrolment in secondary education, both sexes (number)","SE.SEC.ENRL","458034","2012"
"Chad","TCD","Gross enrolment ratio, secondary, both sexes (%)","SE.SEC.ENRR","20.997789383","2008"
"Chad","TCD","Gross enrolment ratio, secondary, both sexes (%)","SE.SEC.ENRR","10.072349548","1999"
"Chad","TCD","Gross enrolment ratio, secondary, both sexes (%)","SE.SEC.ENRR","18.541820526","2007"
"Chad","TCD","Gross enrolment ratio, secondary, both sexes (%)","SE.SEC.ENRR","22.652080536","2010"
"Chad","TCD","Teachers in secondary education, both sexes (number)","SE.SEC.TCHR","6661","2004"
"Chad","TCD","Teachers in secondary education, both sexes (number)","SE.SEC.TCHR","2792","1997"
"Chad","TCD","Teachers in secondary education, both sexes (number)","SE.SEC.TCHR","4883","2002"
"Chad","TCD","Teachers in secondary education, both sexes (number)","SE.SEC.TCHR","13043","2009"
"Chad","TCD","Teachers in secondary education, both sexes (number)","SE.SEC.TCHR","4572","2001"
"Chad","TCD","Enrolment in tertiary education, all programmes, both sexes (number)","SE.TER.ENRL","3798","1997"
"Chad","TCD","Gross enrolment ratio, tertiary, both sexes (%)","SE.TER.ENRR","0.831040025","2000"
"Chad","TCD","Gross enrolment ratio, tertiary, both sexes (%)","SE.TER.ENRR","2.013149977","2009"
"Chad","TCD","Gross enrolment ratio, tertiary, both sexes (%)","SE.TER.ENRR","0.391099989","1985"
"Chad","TCD","Gross enrolment ratio, tertiary, both sexes (%)","SE.TER.ENRR","0.825290024","2001"
"Chad","TCD","Gross enrolment ratio, tertiary, both sexes (%)","SE.TER.ENRR","2.101419926","2010"
"Chad","TCD","Graduates from tertiary education, both sexes (number)","SE.TER.GRAD","31","1975"
"Chad","TCD","Teachers in tertiary education programmes, both sexes (number)","SE.TER.TCHR","8","1972"
"Chad","TCD","Teachers in tertiary education programmes, both sexes (number)","SE.TER.TCHR","2372","2009"
"Chad","TCD","Teachers in tertiary education programmes, both sexes (number)","SE.TER.TCHR","423","2001"
"Chad","TCD","Teachers in tertiary education programmes, both sexes (number)","SE.TER.TCHR","2023","2008"
"Chad","TCD","Gross enrolment ratio, primary to tertiary, both sexes (%)","SE.TOT.ENRR","30.956460953","2000"
"Chad","TCD","Mortality rate, under-5 (per 1,000)","SH.DYN.MORT","168.8","2005"
"Chad","TCD","Mortality rate, under-5 (per 1,000)","SH.DYN.MORT","236.7","1980"
"Chad","TCD","Mortality rate, under-5 (per 1,000)","SH.DYN.MORT","175.4","2003"
"Chad","TCD","Mortality rate, under-5 (per 1,000)","SH.DYN.MORT","240.1","1978"
"Chad","TCD","Mortality rate, under-5 (per 1,000)","SH.DYN.MORT","216.3","1988"
"Chad","TCD","Mortality rate, under-5 (per 1,000)","SH.DYN.MORT","224.5","1985"
"Chad","TCD","Mortality rate, under-5 (per 1,000)","SH.DYN.MORT","178.6","2002"
"Chad","TCD","Mortality rate, under-5 (per 1,000)","SH.DYN.MORT","234.6","1981"
