"sc-gMacIw","sc-gMacIw 2","sc-gMacIw 3","sc-gMacIw 4","sc-gMacIw 5","sc-gMacIw 6"
"Aruba","ABW","Adjusted net enrolment rate, upper secondary, gender parity index (GPI)","UIS.NERA.3.GPI","1.101619959","2004"
"Aruba","ABW","Adjusted net enrolment rate, upper secondary, gender parity index (GPI)","UIS.NERA.3.GPI","1.157189965","2007"
"Aruba","ABW","Total net enrolment rate, primary, gender parity index (GPI)","UIS.NERT.1.GPI","1.013170004","1999"
"Aruba","ABW","Total net enrolment rate, primary, gender parity index (GPI)","UIS.NERT.1.GPI","0.973749995","2003"
"Aruba","ABW","Total net enrolment rate, primary, gender parity index (GPI)","UIS.NERT.1.GPI","1.043239951","2013"
"Aruba","ABW","Net intake rate to Grade 1 of primary education by under-age entrants (-1 year), both sexes (%)","UIS.NIR.1.AGM1","1.025990009","2000"
"Aruba","ABW","Adjusted net intake rate to Grade 1 of primary education, gender parity index (GPI)","UIS.NIRA.1.GPI","0.966560006","2001"
"Aruba","ABW","Adjusted net intake rate to Grade 1 of primary education, gender parity index (GPI)","UIS.NIRA.1.GPI","1.066769958","2006"
"Aruba","ABW","Out-of-school children of primary school age in pre-primary education, female (number)","UIS.OFSPPT.1.F","116","2003"
"Aruba","ABW","Out-of-school children of primary school age in pre-primary education, male (number)","UIS.OFSPPT.1.M","20","2007"
"Aruba","ABW","Repeaters in Grade 1 of lower secondary general education, both sexes (number)","UIS.R.2.GPV.G1","128","2000"
"Aruba","ABW","Percentage of repeaters in primary education, all grades, gender parity index (GPI)","UIS.REPP.1.GPI","0.760370016","2004"
"Aruba","ABW","Percentage of repeaters in primary education, all grades, gender parity index (GPI)","UIS.REPP.1.GPI","0.733609974","2003"
"Aruba","ABW","Percentage of repeaters in primary education, all grades, gender parity index (GPI)","UIS.REPP.1.GPI","0.675520003","2009"
"Aruba","ABW","Percentage of repeaters in lower secondary general education, all grades, both sexes (%)","UIS.REPP.2.GPV","13.329059601","2004"
"Aruba","ABW","Repetition rate in lower secondary general education (all grades), both sexes (%)","UIS.REPR.2.GPV","10.55676","1999"
"Aruba","ABW","Repetition rate in lower secondary general education (all grades), both sexes (%)","UIS.REPR.2.GPV","8.11644","2000"
"Aruba","ABW","Rate of out-of-school youth of upper secondary school age, both sexes (%)","UIS.ROFST.3.CP","8.48083","2003"
"Aruba","ABW","Rate of out-of-school youth of upper secondary school age, both sexes (%)","UIS.ROFST.3.CP","9.42045","2009"
"Chad","TCD","Teachers in secondary education, female (number)","SE.SEC.TCHR.FE","982","2012"
"Chad","TCD","Enrolment in tertiary education, all programmes, female (number)","SE.TER.ENRL.FE","3264","2010"
"Chad","TCD","Enrolment in tertiary education, all programmes, female (number)","SE.TER.ENRL.FE","29","1976"
"Chad","TCD","Enrolment in tertiary education, all programmes, female (number)","SE.TER.ENRL.FE","2991","2009"
"Chad","TCD","Gross enrolment ratio, tertiary, female (%)","SE.TER.ENRR.FE","0.248640001","2001"
"Chad","TCD","Gross enrolment ratio, tertiary, male (%)","SE.TER.ENRR.MA","0.39339","1977"
"Chad","TCD","Gross enrolment ratio, tertiary, male (%)","SE.TER.ENRR.MA","0.977919996","1996"
"Chad","TCD","Teachers in tertiary education programmes, female (number)","SE.TER.TCHR.FE","11","1985"
"Chad","TCD","Teachers in tertiary education programmes, female (number)","SE.TER.TCHR.FE","35","2003"
"Chad","TCD","Teachers in tertiary education programmes, female (number)","SE.TER.TCHR.FE","10","1973"
"Chad","TCD","Teachers in tertiary education programmes, female (number)","SE.TER.TCHR.FE","17","1975"
"Chad","TCD","Expenditure on primary as % of government expenditure on education (%)","SE.XPD.PRIM.ZS","51.61933136","2010"
"Chad","TCD","Expenditure on primary as % of government expenditure on education (%)","SE.XPD.PRIM.ZS","64.926483154","1997"
"Chad","TCD","Expenditure on tertiary as % of government expenditure on education (%)","SE.XPD.TERT.ZS","18.730329514","2005"
"Chad","TCD","Expenditure on tertiary as % of government expenditure on education (%)","SE.XPD.TERT.ZS","17.586740494","2004"
"Chad","TCD","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","2","2003"
"Chad","TCD","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","1.7","2007"
"Chad","TCD","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","2","2000"
"Chad","TCD","Labor force, total","SL.TLF.TOTL.IN","3448376","2003"
"Chad","TCD","Labor force, total","SL.TLF.TOTL.IN","3576372","2004"
"Chad","TCD","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","5.900000095","2010"
"Chad","TCD","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","5.699999809","1994"
"Chad","TCD","Population, ages 0-14, total","SP.POP.0014.TO","1643552","1972"
"Chad","TCD","Population, ages 0-14, total","SP.POP.0014.TO","1597179","1971"
"Chad","TCD","Population, ages 0-14, total","SP.POP.0014.TO","3260462","1994"
"Chad","TCD","Population, ages 0-14, total","SP.POP.0014.TO","6665637","2015"
"Chad","TCD","Population, ages 0-14, total","SP.POP.0014.TO","2156947","1982"
"Chad","TCD","Population, ages 0-14, total","SP.POP.0014.TO","5610923","2009"
"Chad","TCD","Population, ages 0-14, total","SP.POP.0014.TO","4940022","2005"
"Chad","TCD","Population, ages 0-14, total","SP.POP.0014.TO","1554388","1970"
"Chad","TCD","Population, ages 0-14, total","SP.POP.0014.TO","3148992","1993"
"Chad","TCD","Population, ages 15-64, total","SP.POP.1564.TO","1990506","1971"
"Chad","TCD","Population, ages 15-64, total","SP.POP.1564.TO","5391746","2008"
"Chad","TCD","Population, ages 15-64, total","SP.POP.1564.TO","2613886","1986"
"Chad","TCD","Population, ages 15-64, total","SP.POP.1564.TO","2282742","1979"
"Chad","TCD","Population, ages 15-64, total","SP.POP.1564.TO","2214663","1977"
"Chad","TCD","Population, ages 15-64, total","SP.POP.1564.TO","3201113","1993"
"Chad","TCD","Population, ages 15-64, total","SP.POP.1564.TO","2113437","1974"
"Chad","TCD","Population, ages 15-64, total","SP.POP.1564.TO","2439804","1983"
"Chad","TCD","Population, ages 15-64, total","SP.POP.1564.TO","3302321","1994"
"Chad","TCD","Population, ages 15-64, total","SP.POP.1564.TO","2684827","1987"
"Chad","TCD","Population, ages 15-64, total","SP.POP.1564.TO","2184142","1976"
"Chad","TCD","Population of the official age for pre-primary education, both sexes (number)","SP.PRE.TOTL.IN","382623","1975"
"Chad","TCD","Population of the official age for pre-primary education, both sexes (number)","SP.PRE.TOTL.IN","331742","1970"
"Chad","TCD","Population of the official age for pre-primary education, both sexes (number)","SP.PRE.TOTL.IN","393382","1976"
"Chad","TCD","Population of the official age for pre-primary education, both sexes (number)","SP.PRE.TOTL.IN","501938","1984"
"Chad","TCD","Population of the official age for pre-primary education, both sexes (number)","SP.PRE.TOTL.IN","1315962","2012"
"Chad","TCD","Population of the official age for pre-primary education, both sexes (number)","SP.PRE.TOTL.IN","1175998","2008"
"Chad","TCD","Population of the official age for pre-primary education, both sexes (number)","SP.PRE.TOTL.IN","349301","1972"
"Chad","TCD","Population of the official age for the last grade of primary education, female (number)","SP.PRM.GRAD.FE","136267","2006"
"Chad","TCD","Population of the official age for secondary education, both sexes (number)","SP.SEC.TOTL.IN","1379625","2002"
"Chad","TCD","Population of the official age for secondary education, both sexes (number)","SP.SEC.TOTL.IN","659354","1981"
"Chad","TCD","Population of the official age for secondary education, both sexes (number)","SP.SEC.TOTL.IN","585145","1974"
"Chad","TCD","Population of the official age for upper secondary education, both sexes (number)","SP.SEC.UTOT.IN","779356","2011"
"Chad","TCD","Population of the official age for upper secondary education, both sexes (number)","SP.SEC.UTOT.IN","361089","1991"
"Chad","TCD","Population of the official age for upper secondary education, both sexes (number)","SP.SEC.UTOT.IN","523637","2001"
"Chad","TCD","Population of the official age for upper secondary education, both sexes (number)","SP.SEC.UTOT.IN","749279","2010"
"Chad","TCD","Population of the official age for upper secondary education, both sexes (number)","SP.SEC.UTOT.IN","248867","1977"
"Chad","TCD","Population of the official age for upper secondary education, both sexes (number)","SP.SEC.UTOT.IN","838604","2013"
"Chad","TCD","Population of the official age for tertiary education, both sexes (number)","SP.TER.TOTL.IN","907566","2006"
"Chad","TCD","Population of the official age for tertiary education, both sexes (number)","SP.TER.TOTL.IN","411398","1984"
"Chad","TCD","Population of the official age for tertiary education, both sexes (number)","SP.TER.TOTL.IN","835539","2004"
"Chad","TCD","Population of the official age for tertiary education, both sexes (number)","SP.TER.TOTL.IN","397612","1982"
"Chad","TCD","Population of the official age for tertiary education, both sexes (number)","SP.TER.TOTL.IN","403927","1983"
"Chad","TCD","Population of the official age for tertiary education, both sexes (number)","SP.TER.TOTL.IN","610127","1996"
"Chad","TCD","Population of the official age for tertiary education, both sexes (number)","SP.TER.TOTL.IN","656531","1998"
"Chad","TCD","Cumulative drop-out rate to the last grade of lower secondary general education, female (%)","UIS.DR.2.GPV.F","26.76927948","2012"
"Chad","TCD","Cumulative drop-out rate to the last grade of lower secondary general education, female (%)","UIS.DR.2.GPV.F","56.991390228","1996"
"Chad","TCD","Cumulative drop-out rate to the last grade of lower secondary general education, male (%)","UIS.DR.2.GPV.M","43.973770142","2009"
"Chad","TCD","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UIS.DR.2.GPV.T","35.302330017","1994"
"Chad","TCD","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UIS.DR.2.GPV.T","47.940330505","1989"
"Chad","TCD","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UIS.DR.2.GPV.T","52.345371246","1971"
"Chad","TCD","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UIS.DR.2.GPV.T","47.687080383","2009"
"Chad","TCD","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UIS.DR.2.GPV.T","39.403938293","1988"
"Chad","TCD","Gross enrolment ratio, primary and lower secondary, gender parity index (GPI)","UIS.GER.12.GPI","0.707549989","2011"
"Chad","TCD","Percentage of students in lower secondary education enrolled in general programmes, both sexes (%)","UIS.GTVP.2.GPV","99.734413147","2012"
"Chad","TCD","Percentage of students in lower secondary education enrolled in general programmes, both sexes (%)","UIS.GTVP.2.GPV","99.737731934","2004"
"Chad","TCD","Percentage of students in lower secondary education enrolled in general programmes, both sexes (%)","UIS.GTVP.2.GPV","99.70942688","2010"
"Chad","TCD","Percentage of students in lower secondary education enrolled in general programmes, both sexes (%)","UIS.GTVP.2.GPV","99.701919556","2006"
"Chad","TCD","Percentage of female students in lower secondary education enrolled in vocational programmes, female...","UIS.GTVP.2.V.F","0.068259999","2001"
"Chad","TCD","Percentage of male students in lower secondary education enrolled in vocational programmes, male (%)","UIS.GTVP.2.V.M","0.257640004","2003"
"Chad","TCD","Percentage of male students in lower secondary education enrolled in vocational programmes, male (%)","UIS.GTVP.2.V.M","0.347059995","2012"
"Chad","TCD","Percentage of male students in lower secondary education enrolled in vocational programmes, male (%)","UIS.GTVP.2.V.M","0.339929998","2005"
"Chad","TCD","Percentage of male students in lower secondary education enrolled in vocational programmes, male (%)","UIS.GTVP.2.V.M","0.278479993","2004"
"Chad","TCD","Percentage of students in upper secondary education enrolled in general programmes, both sexes (%)","UIS.GTVP.3.GPV","96.654586792","2009"
"Chad","TCD","Percentage of students in upper secondary education enrolled in general programmes, both sexes (%)","UIS.GTVP.3.GPV","92.693992615","2000"
"Chad","TCD","Percentage of students in upper secondary education enrolled in general programmes, both sexes (%)","UIS.GTVP.3.GPV","93.101448059","2001"
"Chad","TCD","Percentage of students in upper secondary education enrolled in general programmes, both sexes (%)","UIS.GTVP.3.GPV","95.820663452","2013"
"Chad","TCD","Percentage of female students in upper secondary education enrolled in vocational programmes, female...","UIS.GTVP.3.V.F","8.575559616","2006"
"Chad","TCD","Percentage of female students in upper secondary education enrolled in vocational programmes, female...","UIS.GTVP.3.V.F","5.770309925","2007"
"Chad","TCD","Percentage of male students in upper secondary education enrolled in vocational programmes, male (%)","UIS.GTVP.3.V.M","3.174050093","2013"
"Chad","TCD","Percentage of male students in upper secondary education enrolled in vocational programmes, male (%)","UIS.GTVP.3.V.M","3.431619883","2005"
"Chad","TCD","Percentage of male students in upper secondary education enrolled in vocational programmes, male (%)","UIS.GTVP.3.V.M","5.640039921","2001"
"Chad","TCD","Percentage of male students in upper secondary education enrolled in vocational programmes, male (%)","UIS.GTVP.3.V.M","3.367130041","2004"
"Chad","TCD","Percentage of male students in post-secondary non-tertiary education enrolled in vocational programm...","UIS.GTVP.4.V.M","100","2010"
"Chad","TCD","Adult illiterate population, 15+ years, both sexes (number)","UIS.LP.AG15T99","3020432","1993"
"Chad","TCD","Literacy rate, population 25-64 years, both sexes (%)","UIS.LR.AG25T64","8.64045","1993"
"Chad","TCD","UIS: Net attendance rate, primary, middle quintile, female (%)","UIS.NAR.1.Q3.F","28.270784378","2004"
"Chad","TCD","UIS: Net attendance rate, primary, richest quintile, male (%)","UIS.NAR.1.Q5.M","70.583213806","2004"
"Chad","TCD","UIS: Net attendance rate, lower secondary, middle quintile, female (%)","UIS.NAR.2.Q3.F","1.26962173","2004"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 25+. Total","PRJ.MYS.25UP.MF","9.7","2025"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 25+. Total","PRJ.MYS.25UP.MF","12","2065"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 40-64. Male","PRJ.MYS.4064.MA","9.3","2020"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 40-64. Male","PRJ.MYS.4064.MA","13.6","2100"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 40-64. Male","PRJ.MYS.4064.MA","12.8","2075"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 40-64. Total","PRJ.MYS.4064.MF","10.5","2035"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 40-64. Total","PRJ.MYS.4064.MF","10.9","2040"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 40-64. Total","PRJ.MYS.4064.MF","11.8","2055"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 40-64. Total","PRJ.MYS.4064.MF","12.7","2070"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 60+. Female","PRJ.MYS.60UP.FE","9","2035"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 60+. Female","PRJ.MYS.60UP.FE","12.4","2085"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 60+. Male","PRJ.MYS.60UP.MA","12.9","2100"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 60+. Male","PRJ.MYS.60UP.MA","7.8","2015"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 60+. Male","PRJ.MYS.60UP.MA","12.4","2090"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 60+. Male","PRJ.MYS.60UP.MA","8.4","2020"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 60+. Total","PRJ.MYS.60UP.MF","9.8","2045"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 60+. Total","PRJ.MYS.60UP.MF","10.6","2055"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 65+. Female","PRJ.MYS.65UP.FE","12.1","2080"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 65+. Female","PRJ.MYS.65UP.FE","10","2050"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 65+. Male","PRJ.MYS.65UP.MA","12.5","2095"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 65+. Male","PRJ.MYS.65UP.MA","12.8","2100"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 65+. Male","PRJ.MYS.65UP.MA","11.4","2075"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 65+. Total","PRJ.MYS.65UP.MF","7.3","2020"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 65+. Total","PRJ.MYS.65UP.MF","8","2025"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 65+. Total","PRJ.MYS.65UP.MF","10.4","2055"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 65+. Total","PRJ.MYS.65UP.MF","9.7","2045"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 80+. Female","PRJ.MYS.80UP.FE","10.3","2060"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 80+. Female","PRJ.MYS.80UP.FE","6.1","2025"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 80+. Female","PRJ.MYS.80UP.FE","3.8","2010"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 80+. Male","PRJ.MYS.80UP.MA","9.7","2045"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 80+. Male","PRJ.MYS.80UP.MA","11","2075"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 80+. Male","PRJ.MYS.80UP.MA","12.1","2095"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 80+. Male","PRJ.MYS.80UP.MA","11.6","2085"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 80+. Male","PRJ.MYS.80UP.MA","6","2015"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 80+. Total","PRJ.MYS.80UP.MF","7.4","2030"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 80+. Total","PRJ.MYS.80UP.MF","10.9","2070"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 80+. Total","PRJ.MYS.80UP.MF","10.5","2065"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 80+. Total","PRJ.MYS.80UP.MF","11.2","2075"
"Aruba","ABW","Wittgenstein Projection: Mean years of schooling. Age 80+. Total","PRJ.MYS.80UP.MF","8","2035"
"Aruba","ABW","Gross intake ratio to Grade 1 of lower secondary general education, female (%)","UIS.AIR.2.GPV.F","108.033241272","2014"
"Aruba","ABW","Gross intake ratio to Grade 1 of lower secondary general education, female (%)","UIS.AIR.2.GPV.F","105.371246338","1999"
"Aruba","ABW","Gross intake ratio to Grade 1 of lower secondary general education, female (%)","UIS.AIR.2.GPV.F","100.263847351","2009"
"Aruba","ABW","Gross intake ratio to Grade 1 of lower secondary general education, female (%)","UIS.AIR.2.GPV.F","107.361961365","2000"
"Aruba","ABW","Gross intake ratio to Grade 1 of lower secondary general education, male (%)","UIS.AIR.2.GPV.M","92.959770203","2002"
"Aruba","ABW","Gross intake ratio to Grade 1 of lower secondary general education, male (%)","UIS.AIR.2.GPV.M","97.409332275","2005"
"Aruba","ABW","Gross intake ratio to Grade 1 of lower secondary general education, male (%)","UIS.AIR.2.GPV.M","96.122993469","2004"
"Aruba","ABW","Gross intake ratio to Grade 1 of lower secondary general education, male (%)","UIS.AIR.2.GPV.M","97.461929321","2006"
"Aruba","ABW","Gross intake ratio to Grade 1 of lower secondary general education, male (%)","UIS.AIR.2.GPV.M","96.010299683","2009"
"Aruba","ABW","Percentage of students enrolled in Education programmes in tertiary education who are female (%)","UIS.FEP.56.F140","89.024391174","2004"
"Aruba","ABW","Percentage of students enrolled in Education programmes in tertiary education who are female (%)","UIS.FEP.56.F140","79.411758423","2006"
"Chad","TCD","Population of the official entrance age to primary education, male (number)","UIS.SAP.1.G1.M","79890","1986"
"Chad","TCD","Population of the official entrance age to primary education, male (number)","UIS.SAP.1.G1.M","211112","2013"
"Chad","TCD","Population of the official entrance age to primary education, male (number)","UIS.SAP.1.G1.M","223627","2015"
"Chad","TCD","School life expectancy, secondary, gender parity index (GPI)","UIS.SLE.23.GPI","0.412609994","2008"
"Chad","TCD","School life expectancy, secondary, gender parity index (GPI)","UIS.SLE.23.GPI","0.437759995","2011"
"Chad","TCD","School life expectancy, secondary, gender parity index (GPI)","UIS.SLE.23.GPI","0.253129989","1998"
"Chad","TCD","School life expectancy, tertiary, gender parity index (GPI)","UIS.SLE.56.GPI","0.024320001","1973"
"Chad","TCD","School life expectancy, tertiary, gender parity index (GPI)","UIS.SLE.56.GPI","0.174879998","2010"
"Chad","TCD","School life expectancy, tertiary, gender parity index (GPI)","UIS.SLE.56.GPI","0.080069996","1974"
"Chad","TCD","School life expectancy, tertiary, gender parity index (GPI)","UIS.SLE.56.GPI","0.239040002","2011"
"Chad","TCD","Teachers in secondary general education, female (number)","UIS.T.23.GPV.F","179","1999"
"Chad","TCD","DHS: Net attendance rate. Secondary. Male","HH.DHS.NAR.23.M","8.177244016","1996"
"Chad","TCD","DHS: Net intake rate for the first grade of primary education. Quintile 3","HH.DHS.NIR.1.Q3","1.90960138","1996"
"Chad","TCD","DHS: Proportion of out-of-school. Primary. Quintile 1","HH.DHS.OOS.1.Q1","56.215576722","2014"
"Chad","TCD","DHS: Proportion of out-of-school. Primary. Quintile 1","HH.DHS.OOS.1.Q1","83.825958376","1996"
"Chad","TCD","DHS: Proportion of out-of-school. Primary. Quintile 2","HH.DHS.OOS.1.Q2","52.84530203","2014"
"Chad","TCD","DHS: Typology of out-of-school children. Primary. Late entry. Female","HH.DHS.OOST.L.F","14.487664495","1996"
"Chad","TCD","DHS: Typology of out-of-school children. Primary. Late entry. Male","HH.DHS.OOST.L.M","29.041018518","2004"
"Chad","TCD","DHS: Typology of out-of-school children. Primary. Late entry. Urban","HH.DHS.OOST.L.U","25.114278133","2004"
"Chad","TCD","DHS: Typology of out-of-school children. Primary. Never in school. Female","HH.DHS.OOST.X.F","83.53773639","1996"
"Chad","TCD","MICS: Transition rate. Primary to Secondary. Male","HH.MICS.TR.12.M","28.520056044","2011"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 0-19. Female","PRJ.MYS.0T19.FE","1.7","2065"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 0-19. Female","PRJ.MYS.0T19.FE","2.3","2100"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 0-19. Male","PRJ.MYS.0T19.MA","0.9","2030"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 0-19. Male","PRJ.MYS.0T19.MA","0.8","2020"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 0-19. Total","PRJ.MYS.0T19.MF","0.5","2010"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 0-19. Total","PRJ.MYS.0T19.MF","2.2","2095"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 0-19. Total","PRJ.MYS.0T19.MF","2.2","2090"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15-19. Female","PRJ.MYS.1519.FE","8.3","2090"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15-19. Female","PRJ.MYS.1519.FE","5.9","2055"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15-19. Female","PRJ.MYS.1519.FE","7.4","2075"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15-19. Female","PRJ.MYS.1519.FE","3.4","2030"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15-19. Female","PRJ.MYS.1519.FE","3.9","2035"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15-19. Male","PRJ.MYS.1519.MA","8","2085"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15-19. Male","PRJ.MYS.1519.MA","3.3","2010"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15-19. Male","PRJ.MYS.1519.MA","5.5","2050"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15-19. Total","PRJ.MYS.1519.MF","3.5","2025"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15-19. Total","PRJ.MYS.1519.MF","4.6","2040"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15-19. Total","PRJ.MYS.1519.MF","8.7","2100"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15+. Female","PRJ.MYS.15UP.FE","2.4","2025"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15+. Female","PRJ.MYS.15UP.FE","3.8","2040"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15+. Female","PRJ.MYS.15UP.FE","7","2070"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15+. Male","PRJ.MYS.15UP.MA","3.2","2010"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15+. Male","PRJ.MYS.15UP.MA","7.9","2075"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15+. Male","PRJ.MYS.15UP.MA","5.9","2050"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15+. Male","PRJ.MYS.15UP.MA","5.5","2045"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15+. Total","PRJ.MYS.15UP.MF","2.6","2015"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15+. Total","PRJ.MYS.15UP.MF","9.1","2090"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 15+. Total","PRJ.MYS.15UP.MF","7.2","2070"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-24. Female","PRJ.MYS.2024.FE","9.6","2080"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-24. Female","PRJ.MYS.2024.FE","3.3","2025"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-24. Male","PRJ.MYS.2024.MA","5.7","2035"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-24. Male","PRJ.MYS.2024.MA","6.8","2050"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-24. Total","PRJ.MYS.2024.MF","8.2","2065"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-24. Total","PRJ.MYS.2024.MF","10.7","2095"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-24. Total","PRJ.MYS.2024.MF","3.5","2015"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-39. Male","PRJ.MYS.2039.MA","11.3","2095"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-39. Male","PRJ.MYS.2039.MA","9.8","2080"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-39. Male","PRJ.MYS.2039.MA","6.6","2050"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-39. Male","PRJ.MYS.2039.MA","4.6","2020"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-39. Male","PRJ.MYS.2039.MA","8.6","2070"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-39. Total","PRJ.MYS.2039.MF","4.8","2035"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-39. Total","PRJ.MYS.2039.MF","8.6","2070"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-39. Total","PRJ.MYS.2039.MF","11.7","2100"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-39. Total","PRJ.MYS.2039.MF","6.3","2050"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-64. Female","PRJ.MYS.2064.FE","5.7","2055"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-64. Female","PRJ.MYS.2064.FE","1.3","2010"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-64. Male","PRJ.MYS.2064.MA","4.4","2025"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-64. Male","PRJ.MYS.2064.MA","6.8","2060"
"Chad","TCD","Wittgenstein Projection: Mean years of schooling. Age 20-64. Total","PRJ.MYS.2064.MF","4.7","2040"
